Time (ms),Name,Value
4,"RPM Desired value: ","3441.0"
4,"At Target: ","false"
5,"P: ","0.1125"
5,"Get Voltage: ","12.450000000000001"
5,"Get Current: ","0.0"
5,"D: ","0.0"
5,"RPM","2248.095703125"
142430,"RPM","0.0"
142430,"Get Voltage: ","12.4"
142430,"Get Current: ","1.625"
142530,"Get Voltage: ","12.5"
142530,"Get Current: ","0.0"
142630,"Get Voltage: ","12.55"
142730,"Get Voltage: ","12.55"
142831,"Get Voltage: ","12.55"
142931,"Get Voltage: ","12.5"
143030,"Get Voltage: ","12.5"
143130,"Get Voltage: ","12.5"
143231,"Get Voltage: ","12.5"
143331,"Get Voltage: ","12.55"
143431,"Get Voltage: ","12.5"
143531,"Get Voltage: ","12.5"
143631,"Get Voltage: ","12.5"
143731,"Get Voltage: ","12.55"
143832,"Get Voltage: ","12.55"
143931,"Get Voltage: ","12.5"
144032,"Get Voltage: ","12.5"
144132,"Get Voltage: ","12.5"
144232,"Get Voltage: ","12.450000000000001"
144432,"Get Voltage: ","12.5"
144532,"Get Voltage: ","12.5"
144632,"Get Voltage: ","12.55"
144732,"Get Voltage: ","12.450000000000001"
144833,"Get Voltage: ","10.600000000000001"
144833,"RPM","114.25781249999999"
144833,"Get Current: ","60.875"
144933,"RPM","1149.31640625"
144933,"Get Voltage: ","10.95"
145033,"RPM","2194.3359375"
145034,"Get Voltage: ","11.25"
145034,"Get Current: ","60.625"
145134,"RPM","2974.951171875"
145134,"Get Voltage: ","11.3"
145134,"Get Current: ","57.125"
145237,"RPM","3446.044921875"
145237,"Get Voltage: ","12.15"
145237,"Get Current: ","12.75"
145335,"RPM","3650.9765624999995"
145335,"Get Voltage: ","12.35"
145335,"Get Current: ","0.875"
145433,"RPM","3486.03515625"
145433,"Get Voltage: ","12.35"
145433,"Get Current: ","0.0"
145534,"RPM","3346.58203125"
145534,"Get Voltage: ","12.15"
145534,"Get Current: ","7.75"
145634,"RPM","3362.98828125"
145634,"Get Voltage: ","12.200000000000001"
145634,"Get Current: ","8.75"
145734,"RPM","3441.2109375"
145734,"Get Voltage: ","12.25"
145734,"Get Current: ","4.125"
145834,"RPM","3458.935546875"
145834,"Get Voltage: ","12.35"
145834,"Get Current: ","2.875"
145934,"RPM","3432.71484375"
145934,"Get Voltage: ","12.35"
145934,"Get Current: ","3.5"
146034,"RPM","3414.697265625"
146034,"Get Voltage: ","12.3"
146034,"Get Current: ","4.125"
146134,"RPM","3419.091796875"
146134,"Get Voltage: ","12.25"
146134,"Get Current: ","4.625"
146234,"RPM","3430.810546875"
146234,"Get Current: ","4.25"
146234,"Get Voltage: ","12.3"
146335,"RPM","3433.154296875"
146335,"Get Voltage: ","12.25"
146335,"Get Current: ","3.875"
146434,"RPM","3429.345703125"
146434,"Get Current: ","4.0"
146534,"RPM","3428.02734375"
146534,"Get Voltage: ","12.3"
146635,"Get Voltage: ","12.3"
146635,"RPM","3429.19921875"
146734,"RPM","3429.931640625"
146734,"Get Voltage: ","12.35"
146835,"RPM","3430.517578125"
146835,"Get Voltage: ","12.3"
146835,"Get Current: ","3.875"
146934,"RPM","3431.25"
147035,"RPM","3430.517578125"
147035,"Get Voltage: ","12.3"
147035,"Get Current: ","4.0"
147135,"RPM","3429.638671875"
147135,"Get Voltage: ","12.25"
147135,"Get Current: ","3.875"
147236,"RPM","3430.6640625"
147236,"Get Voltage: ","12.25"
147335,"RPM","3430.6640625"
147335,"Get Voltage: ","12.25"
147335,"Get Current: ","3.875"
147436,"RPM","3430.95703125"
147436,"Get Voltage: ","12.3"
147535,"RPM","3430.810546875"
147536,"Get Voltage: ","12.25"
147536,"Get Current: ","4.0"
147636,"RPM","3431.982421875"
147636,"Get Voltage: ","12.4"
147636,"Get Current: ","3.875"
147736,"Get Voltage: ","12.3"
147736,"RPM","3431.689453125"
147836,"RPM","3430.810546875"
147836,"Get Voltage: ","12.35"
147936,"RPM","3430.810546875"
147936,"Get Voltage: ","12.3"
148036,"RPM","3432.275390625"
148036,"Get Voltage: ","12.35"
148136,"RPM","3432.275390625"
148137,"Get Voltage: ","12.25"
148236,"RPM","3432.12890625"
148236,"Get Voltage: ","12.25"
148336,"RPM","3431.8359375"
148336,"Get Voltage: ","12.25"
148336,"Get Current: ","3.75"
148437,"RPM","3431.54296875"
148437,"Get Current: ","3.875"
148437,"Get Voltage: ","12.3"
148537,"RPM","3432.568359375"
148537,"Get Voltage: ","12.25"
148636,"Get Voltage: ","12.3"
148637,"RPM","3432.71484375"
148637,"Get Current: ","3.75"
148736,"Get Current: ","3.875"
148736,"RPM","3431.982421875"
148837,"RPM","3431.103515625"
148837,"Get Voltage: ","12.35"
148837,"Get Current: ","3.75"
148937,"Get Voltage: ","12.3"
148937,"Get Current: ","3.875"
148937,"RPM","3431.689453125"
149037,"RPM","3432.421875"
149037,"Get Voltage: ","12.35"
149137,"RPM","3432.275390625"
149137,"Get Voltage: ","12.25"
149137,"Get Current: ","3.875"
149237,"RPM","3430.6640625"
149238,"Get Voltage: ","12.25"
149238,"Get Current: ","3.875"
149339,"RPM","3430.517578125"
149339,"Get Voltage: ","12.3"
149438,"RPM","3430.517578125"
149438,"Get Voltage: ","12.3"
149538,"RPM","3430.6640625"
149638,"Get Voltage: ","12.25"
149638,"RPM","3431.25"
149638,"Get Current: ","3.75"
149739,"RPM","3432.421875"
149739,"Get Voltage: ","12.3"
149739,"Get Current: ","3.875"
149839,"Get Voltage: ","12.3"
149840,"RPM","3432.861328125"
149939,"RPM","3428.3203125"
149939,"Get Voltage: ","12.3"
149939,"Get Current: ","4.625"
150039,"RPM","3257.666015625"
150039,"Get Voltage: ","12.200000000000001"
150039,"Get Current: ","7.125"
150139,"RPM","3332.958984375"
150139,"Get Voltage: ","12.15"
150139,"Get Current: ","14.25"
150239,"RPM","3495.556640625"
150239,"Get Voltage: ","12.3"
150239,"Get Current: ","7.5"
150339,"Get Current: ","1.0"
150339,"RPM","3504.4921875"
150339,"Get Voltage: ","12.35"
150439,"RPM","3423.33984375"
150439,"Get Voltage: ","12.25"
150439,"Get Current: ","1.5"
150539,"RPM","3213.28125"
150539,"Get Voltage: ","12.0"
150539,"Get Current: ","10.5"
150639,"RPM","3363.427734375"
150639,"Get Voltage: ","12.05"
150639,"Get Current: ","17.25"
150739,"Get Voltage: ","12.25"
150739,"Get Current: ","7.0"
150739,"RPM","3408.544921875"
150840,"RPM","3322.998046875"
150840,"Get Voltage: ","12.15"
150840,"Get Current: ","10.125"
150940,"RPM","3252.978515625"
150940,"Get Voltage: ","12.1"
150940,"Get Current: ","12.125"
151039,"RPM","3341.455078125"
151039,"Get Voltage: ","12.1"
151039,"Get Current: ","14.25"
151140,"RPM","3307.470703125"
151140,"Get Voltage: ","12.1"
151140,"Get Current: ","10.5"
151240,"RPM","3290.625"
151240,"Get Voltage: ","12.1"
151240,"Get Current: ","12.25"
151340,"RPM","3289.453125"
151340,"Get Voltage: ","12.05"
151340,"Get Current: ","12.875"
151440,"RPM","3263.232421875"
151440,"Get Current: ","14.125"
151440,"Get Voltage: ","11.95"
151540,"RPM","3251.953125"
151540,"Get Voltage: ","12.0"
151540,"Get Current: ","16.25"
151640,"RPM","3245.5078125"
151640,"Get Voltage: ","12.05"
151641,"Get Current: ","15.75"
151740,"RPM","3217.529296875"
151740,"Get Voltage: ","11.95"
151740,"Get Current: ","18.125"
151840,"RPM","3217.3828125"
151840,"Get Voltage: ","11.850000000000001"
151840,"Get Current: ","19.5"
151940,"RPM","3240.087890625"
151940,"Get Voltage: ","12.0"
151940,"Get Current: ","18.125"
152041,"RPM","3234.375"
152041,"Get Voltage: ","12.0"
152041,"Get Current: ","17.375"
152141,"RPM","3232.763671875"
152141,"Get Voltage: ","12.0"
152141,"Get Current: ","18.0"
152241,"RPM","3220.458984375"
152241,"Get Voltage: ","11.95"
152241,"Get Current: ","18.25"
152341,"RPM","3224.560546875"
152341,"Get Voltage: ","11.850000000000001"
152341,"Get Current: ","18.875"
152441,"RPM","3252.24609375"
152441,"Get Voltage: ","12.0"
