Time (ms),Name,Value
122,"At Target: ","false"
122,"P: ","0.1"
122,"Get Voltage: ","12.700000000000001"
122,"Get Current: ","0.0"
122,"D: ","0.0"
122,"RPM","0.0"
122,"RPM Desired value: ","3500.0"
12358,"Get Voltage: ","12.700000000000001"
12458,"Get Voltage: ","12.65"
12659,"Get Voltage: ","12.700000000000001"
13159,"Get Voltage: ","12.65"
13259,"Get Voltage: ","12.700000000000001"
13359,"Get Voltage: ","12.65"
13660,"Get Voltage: ","12.700000000000001"
14160,"Get Voltage: ","12.65"
14260,"Get Voltage: ","12.700000000000001"
14360,"Get Voltage: ","12.65"
14461,"Get Voltage: ","12.700000000000001"
14560,"Get Voltage: ","12.65"
14660,"Get Voltage: ","12.700000000000001"
15161,"Get Voltage: ","12.65"
15361,"Get Voltage: ","12.65"
15565,"Get Voltage: ","12.65"
15670,"Get Voltage: ","12.700000000000001"
16161,"Get Voltage: ","12.65"
16362,"Get Voltage: ","12.700000000000001"
16462,"Get Voltage: ","12.65"
16563,"Get Voltage: ","12.65"
16662,"Get Voltage: ","12.700000000000001"
17163,"Get Voltage: ","12.65"
17263,"Get Voltage: ","12.65"
17363,"Get Voltage: ","12.700000000000001"
17463,"Get Voltage: ","12.65"
17663,"Get Voltage: ","12.700000000000001"
17763,"Get Voltage: ","12.700000000000001"
18165,"Get Voltage: ","12.65"
18264,"Get Voltage: ","12.65"
18664,"Get Voltage: ","12.700000000000001"
19164,"Get Voltage: ","12.65"
19267,"Get Voltage: ","12.700000000000001"
19365,"Get Voltage: ","12.65"
19472,"Get Voltage: ","12.65"
19565,"Get Voltage: ","12.25"
19665,"Get Voltage: ","12.55"
19665,"Get Current: ","1.625"
19767,"RPM","-0.5859375"
19767,"Get Current: ","0.0"
19767,"Get Voltage: ","12.5"
19866,"Get Voltage: ","12.55"
19866,"RPM","-0.29296875"
19969,"RPM","0.0"
19969,"Get Voltage: ","12.55"
20072,"Get Voltage: ","12.55"
20165,"Get Voltage: ","12.5"
20265,"Get Voltage: ","12.5"
20466,"Get Voltage: ","10.7"
20466,"Get Current: ","11.25"
20466,"RPM","35.595703125"
20566,"RPM","901.9042968749999"
20566,"Get Voltage: ","10.95"
20566,"Get Current: ","61.0"
20666,"RPM","1827.8320312499998"
20666,"Get Voltage: ","11.2"
20766,"RPM","2708.935546875"
20766,"Get Voltage: ","11.45"
20766,"Get Current: ","59.25"
20866,"RPM","3366.796875"
20866,"Get Voltage: ","12.15"
20866,"Get Current: ","23.875"
20966,"RPM","3673.8281249999995"
20966,"Get Voltage: ","12.35"
20966,"Get Current: ","3.5"
21067,"RPM","3616.8457031249995"
21067,"Get Current: ","0.0"
21067,"Get Voltage: ","12.35"
21167,"RPM","3456.591796875"
21167,"Get Voltage: ","12.15"
21167,"Get Current: ","1.625"
21267,"RPM","3412.20703125"
21267,"Get Voltage: ","12.25"
21267,"Get Current: ","7.75"
21367,"RPM","3462.158203125"
21367,"Get Voltage: ","12.3"
21367,"Get Current: ","5.875"
21467,"RPM","3493.06640625"
21467,"Get Voltage: ","12.3"
21467,"Get Current: ","4.375"
21567,"RPM","3490.13671875"
21567,"Get Voltage: ","12.25"
21567,"Get Current: ","3.875"
21667,"RPM","3468.45703125"
21667,"Get Voltage: ","12.450000000000001"
21667,"Get Current: ","2.625"
21767,"RPM","3399.90234375"
21767,"Get Current: ","0.0"
21767,"Get Voltage: ","12.5"
21871,"RPM","3295.458984375"
21871,"Get Voltage: ","12.5"
21968,"RPM","3213.28125"
21968,"Get Voltage: ","12.55"
22067,"RPM","3112.5"
22067,"Get Voltage: ","12.5"
22168,"RPM","3012.744140625"
22168,"Get Voltage: ","12.5"
22272,"RPM","2915.185546875"
22367,"RPM","2838.720703125"
22468,"RPM","2745.263671875"
22568,"RPM","2654.736328125"
22568,"Get Voltage: ","12.450000000000001"
22669,"RPM","2566.259765625"
22669,"Get Voltage: ","12.5"
22768,"RPM","2495.068359375"
22768,"Get Voltage: ","12.5"
22868,"RPM","2408.349609375"
22868,"Get Voltage: ","12.55"
22969,"RPM","2322.94921875"
23069,"RPM","2239.599609375"
23168,"RPM","2174.12109375"
23269,"RPM","2093.5546875"
23269,"Get Voltage: ","12.5"
23368,"RPM","2015.6249999999998"
23368,"Get Voltage: ","12.5"
23469,"RPM","1938.4277343749998"
23569,"RPM","1862.9882812499998"
23569,"Get Voltage: ","12.5"
23671,"RPM","1789.3066406249998"
23671,"Get Voltage: ","12.55"
23770,"RPM","1731.298828125"
23869,"RPM","1660.25390625"
23970,"RPM","1590.234375"
24070,"RPM","1535.009765625"
24169,"RPM","1467.1875"
24169,"Get Voltage: ","12.55"
24272,"RPM","1401.26953125"
24374,"RPM","1337.40234375"
24374,"Get Voltage: ","11.0"
24476,"RPM","1412.40234375"
24477,"Get Voltage: ","11.100000000000001"
24477,"Get Current: ","61.0"
24577,"RPM","2232.71484375"
24577,"Get Voltage: ","11.45"
24577,"Get Current: ","60.25"
24670,"RPM","3022.119140625"
24670,"Get Voltage: ","11.75"
24670,"Get Current: ","55.0"
24770,"RPM","3578.3203124999995"
24770,"Get Voltage: ","12.4"
24770,"Get Current: ","7.0"
24871,"RPM","3693.7499999999995"
24871,"Get Voltage: ","12.5"
24871,"Get Current: ","0.0"
24970,"RPM","3551.0742187499995"
24970,"Get Voltage: ","12.4"
24970,"Get Current: ","0.875"
25071,"RPM","3421.728515625"
25071,"Get Voltage: ","12.35"
25071,"Get Current: ","4.0"
25170,"RPM","3436.669921875"
25171,"Get Current: ","7.625"
25171,"Get Voltage: ","12.3"
25271,"RPM","3484.130859375"
25271,"Get Voltage: ","12.4"
25271,"Get Current: ","6.125"
25371,"RPM","3505.95703125"
25371,"Get Current: ","3.625"
25371,"Get Voltage: ","12.4"
25471,"RPM","3490.4296875"
25471,"Get Current: ","3.875"
25471,"Get Voltage: ","12.4"
25571,"RPM","3477.099609375"
25571,"Get Voltage: ","12.35"
