Time (ms),Name,Value
4,"P: ","0.1"
4,"D: ","0.0"
50636,"RPM","0.0"
50636,"At Target: ","false"
50636,"Get Voltage: ","12.6"
50636,"Get Current: ","0.0"
50936,"Get Voltage: ","12.55"
51436,"Get Voltage: ","12.6"
51637,"Get Voltage: ","11.75"
51737,"Get Voltage: ","12.4"
51737,"Get Current: ","1.5"
51837,"Get Voltage: ","12.35"
51837,"Get Current: ","0.0"
51937,"Get Voltage: ","12.3"
52037,"Get Voltage: ","12.25"
52138,"Get Voltage: ","12.3"
52237,"Get Voltage: ","12.3"
52338,"Get Voltage: ","12.3"
52438,"Get Voltage: ","12.35"
52538,"Get Voltage: ","12.35"
52638,"Get Voltage: ","12.35"
52737,"Get Voltage: ","12.3"
52837,"Get Voltage: ","12.35"
52939,"Get Voltage: ","12.3"
53038,"Get Voltage: ","12.3"
53240,"Get Voltage: ","9.65"
53240,"Get Current: ","61.0"
53240,"RPM","175.927734375"
53339,"RPM","1201.318359375"
53339,"Get Voltage: ","9.95"
53438,"RPM","1966.5527343749998"
53438,"Get Voltage: ","10.600000000000001"
53539,"RPM","2705.2734375"
53539,"Get Voltage: ","10.9"
53539,"Get Current: ","53.625"
53639,"RPM","3267.919921875"
53639,"Get Voltage: ","10.95"
53639,"Get Current: ","47.0"
53739,"RPM","3695.9472656249995"
53740,"Get Voltage: ","11.15"
53740,"Get Current: ","37.5"
53839,"RPM","4034.6191406249995"
53839,"Get Voltage: ","11.2"
53839,"Get Current: ","33.75"
53939,"RPM","4258.740234375"
53939,"Get Voltage: ","11.4"
53939,"Get Current: ","27.25"
54041,"RPM","4483.154296875"
54042,"Get Current: ","25.25"
54143,"RPM","4662.158203125"
54143,"Get Current: ","23.0"
54143,"Get Voltage: ","11.4"
54245,"RPM","4822.8515625"
54245,"Get Voltage: ","11.55"
54245,"Get Current: ","20.75"
54340,"RPM","4930.6640625"
54340,"Get Voltage: ","11.55"
54340,"Get Current: ","19.375"
54441,"RPM","5040.8203125"
54442,"Get Voltage: ","11.600000000000001"
54442,"Get Current: ","17.375"
54539,"RPM","5146.2890625"
54539,"Get Voltage: ","11.65"
54642,"Get Voltage: ","11.600000000000001"
54642,"Get Current: ","16.375"
54642,"RPM","5207.8125"
54740,"RPM","5260.546875"
54740,"Get Voltage: ","11.7"
54740,"Get Current: ","15.5"
54839,"RPM","5322.65625"
54840,"Get Current: ","14.375"
54941,"RPM","5363.0859375"
54941,"Get Current: ","14.125"
54941,"Get Voltage: ","11.7"
55040,"RPM","5392.3828125"
55040,"Get Voltage: ","11.75"
55040,"Get Current: ","13.5"
55140,"RPM","5414.0625"
55141,"Get Voltage: ","11.850000000000001"
55141,"Get Current: ","10.75"
55241,"RPM","5416.9921875"
55241,"Get Voltage: ","11.8"
55241,"Get Current: ","10.625"
55340,"RPM","5407.6171875"
55340,"Get Current: ","10.5"
55341,"Get Voltage: ","11.75"
55441,"RPM","5407.6171875"
55441,"Get Voltage: ","11.850000000000001"
55441,"Get Current: ","10.875"
55541,"Get Voltage: ","11.850000000000001"
55541,"RPM","5408.203125"
55541,"Get Current: ","10.5"
55641,"Get Current: ","10.75"
55641,"RPM","5407.6171875"
55641,"Get Voltage: ","11.850000000000001"
