Time (ms),Name,Value
9,"RPM Desired value: ","3441.0"
10,"At Target: ","false"
10,"P: ","0.11"
10,"Get Voltage: ","12.4"
10,"Get Current: ","0.0"
10,"D: ","0.0"
10,"RPM","2729.443359375"
22730,"RPM","0.0"
22730,"Get Voltage: ","12.6"
22831,"Get Voltage: ","12.450000000000001"
22831,"Get Current: ","1.5"
22931,"Get Voltage: ","12.55"
22931,"Get Current: ","0.0"
23032,"Get Voltage: ","12.5"
23231,"Get Voltage: ","12.5"
23330,"Get Voltage: ","12.55"
23431,"Get Voltage: ","12.5"
23531,"Get Voltage: ","12.55"
23631,"Get Voltage: ","12.55"
23731,"Get Voltage: ","12.450000000000001"
23831,"Get Voltage: ","12.5"
23931,"Get Voltage: ","12.5"
24032,"Get Voltage: ","12.450000000000001"
24131,"Get Voltage: ","12.5"
24232,"Get Voltage: ","12.5"
24332,"Get Voltage: ","12.5"
24432,"Get Voltage: ","12.5"
24532,"Get Voltage: ","12.5"
24632,"Get Voltage: ","12.5"
24733,"Get Voltage: ","12.450000000000001"
24833,"Get Voltage: ","12.450000000000001"
24933,"Get Voltage: ","12.450000000000001"
25033,"Get Voltage: ","12.4"
25133,"Get Voltage: ","12.450000000000001"
25233,"Get Voltage: ","12.5"
25334,"Get Voltage: ","12.450000000000001"
25434,"Get Voltage: ","12.55"
25534,"Get Voltage: ","12.5"
25635,"Get Voltage: ","12.450000000000001"
25734,"Get Voltage: ","12.450000000000001"
26034,"Get Voltage: ","12.450000000000001"
26134,"Get Voltage: ","12.450000000000001"
26235,"Get Voltage: ","12.5"
26334,"Get Voltage: ","12.450000000000001"
26535,"Get Voltage: ","12.450000000000001"
26635,"Get Voltage: ","12.450000000000001"
27136,"Get Voltage: ","10.4"
27136,"RPM","50.830078125"
27136,"Get Current: ","59.0"
27236,"RPM","965.0390624999999"
27236,"Get Voltage: ","10.75"
27236,"Get Current: ","61.0"
27336,"Get Voltage: ","11.100000000000001"
27336,"RPM","2061.474609375"
27336,"Get Current: ","60.875"
27437,"Get Voltage: ","11.25"
27437,"RPM","2730.908203125"
27437,"Get Current: ","59.875"
27536,"RPM","3375.87890625"
27536,"Get Voltage: ","12.0"
27536,"Get Current: ","30.875"
27638,"RPM","3648.7792968749995"
27638,"Get Voltage: ","12.3"
