Time (ms),Name,Value
3,"At Target: ","false"
4,"P: ","0.1"
4,"Get Voltage: ","12.5"
5,"Get Current: ","0.0"
5,"D: ","0.0"
5,"RPM","0.0"
5,"RPM Desired value: ","3000.0"
4627,"Get Voltage: ","12.450000000000001"
4628,"RPM Desired value: ","3400.0"
4828,"Get Voltage: ","12.450000000000001"
4928,"Get Voltage: ","12.450000000000001"
5028,"Get Voltage: ","12.5"
5128,"Get Voltage: ","12.450000000000001"
5428,"Get Voltage: ","12.450000000000001"
5729,"Get Voltage: ","12.5"
5829,"Get Voltage: ","12.450000000000001"
6334,"Get Voltage: ","12.450000000000001"
6538,"Get Voltage: ","12.450000000000001"
6640,"Get Voltage: ","12.450000000000001"
6743,"Get Voltage: ","12.5"
6829,"Get Voltage: ","12.450000000000001"
7229,"Get Voltage: ","9.600000000000001"
7230,"RPM","94.482421875"
7230,"Get Current: ","51.25"
7330,"RPM","1027.734375"
7330,"Get Voltage: ","9.850000000000001"
7330,"Get Current: ","61.0"
7430,"RPM","1828.5644531249998"
7430,"Get Voltage: ","10.5"
7430,"Get Current: ","60.875"
7530,"RPM","2597.16796875"
7530,"Get Voltage: ","10.5"
7530,"Get Current: ","52.875"
7631,"RPM","3188.525390625"
7631,"Get Voltage: ","11.8"
7631,"Get Current: ","41.875"
7730,"RPM","3501.85546875"
7730,"Get Voltage: ","12.25"
7730,"Get Current: ","3.125"
7830,"RPM","3491.455078125"
7830,"Get Current: ","0.0"
7830,"Get Voltage: ","12.25"
7941,"RPM","3369.43359375"
7941,"Get Voltage: ","12.1"
7941,"Get Current: ","2.25"
8030,"RPM","3311.279296875"
8030,"Get Voltage: ","12.1"
8030,"Get Current: ","5.0"
8131,"RPM","3333.251953125"
8131,"Get Voltage: ","12.05"
8131,"Get Current: ","6.625"
8231,"RPM","3361.083984375"
8231,"Get Voltage: ","12.15"
8231,"Get Current: ","4.75"
8331,"RPM","3371.923828125"
8331,"Get Current: ","4.25"
8431,"RPM","3364.892578125"
8431,"Get Voltage: ","12.15"
8431,"Get Current: ","4.25"
8531,"RPM","3359.033203125"
8531,"Get Voltage: ","12.1"
8531,"Get Current: ","4.375"
8632,"Get Current: ","4.625"
8632,"RPM","3360.791015625"
8632,"Get Voltage: ","12.15"
8731,"RPM","3363.134765625"
8731,"Get Current: ","4.5"
8731,"Get Voltage: ","12.15"
8831,"RPM","3364.74609375"
8831,"Get Current: ","4.375"
8831,"Get Voltage: ","12.200000000000001"
8933,"RPM","3364.16015625"
8933,"Get Voltage: ","12.200000000000001"
8933,"Get Current: ","4.25"
9036,"RPM","3363.134765625"
9036,"Get Voltage: ","12.200000000000001"
9036,"Get Current: ","4.375"
9132,"RPM","3361.81640625"
9132,"Get Voltage: ","12.15"
9132,"Get Current: ","4.5"
9231,"RPM","3361.5234375"
9231,"Get Current: ","4.375"
9332,"RPM","3362.6953125"
9332,"Get Current: ","4.375"
9332,"Get Voltage: ","12.200000000000001"
9431,"RPM","3363.57421875"
9432,"Get Voltage: ","12.15"
9532,"Get Voltage: ","12.15"
9532,"RPM","3363.8671875"
9631,"RPM","3365.185546875"
9632,"Get Voltage: ","12.200000000000001"
9732,"RPM","3365.625"
9732,"Get Voltage: ","12.200000000000001"
9732,"Get Current: ","4.25"
9832,"RPM","3363.8671875"
9832,"Get Voltage: ","12.3"
9832,"Get Current: ","3.25"
9932,"RPM","3340.283203125"
9932,"Get Voltage: ","12.3"
9932,"Get Current: ","0.0"
10032,"RPM","3244.62890625"
10032,"Get Voltage: ","12.35"
10132,"RPM","3137.40234375"
10132,"Get Voltage: ","12.3"
10243,"RPM","3033.984375"
10243,"Get Voltage: ","12.3"
10333,"RPM","2952.685546875"
10333,"Get Voltage: ","12.35"
10433,"RPM","2852.34375"
10433,"Get Voltage: ","12.35"
10533,"RPM","2753.3203125"
10533,"Get Voltage: ","12.35"
10635,"RPM","2656.494140625"
10635,"Get Voltage: ","12.35"
10736,"RPM","2580.46875"
10736,"Get Voltage: ","12.35"
10838,"RPM","2485.83984375"
10838,"Get Voltage: ","12.4"
10941,"RPM","2392.67578125"
11043,"RPM","2301.708984375"
11146,"RPM","2213.0859375"
11146,"Get Voltage: ","12.35"
11249,"RPM","2142.626953125"
11249,"Get Voltage: ","12.4"
11334,"RPM","2055.76171875"
11334,"Get Voltage: ","12.35"
11434,"RPM","1971.9726562499998"
11534,"RPM","1888.4765624999998"
11535,"Get Voltage: ","12.35"
11634,"RPM","1823.2910156249998"
11635,"Get Voltage: ","12.4"
11734,"RPM","1744.62890625"
11834,"RPM","1668.017578125"
11934,"RPM","1592.724609375"
12035,"RPM","1533.69140625"
12135,"RPM","1461.62109375"
12135,"Get Voltage: ","12.35"
12235,"RPM","1392.1875"
12235,"Get Voltage: ","12.35"
12334,"RPM","1323.6328125"
12335,"Get Voltage: ","12.4"
12435,"RPM","1270.3125"
12435,"Get Voltage: ","12.35"
12535,"RPM","1205.419921875"
12535,"Get Voltage: ","12.1"
12535,"Get Current: ","1.5"
12637,"RPM","1141.9921875"
12637,"Get Current: ","0.0"
12637,"Get Voltage: ","12.15"
12735,"RPM","1081.0546875"
12735,"Get Voltage: ","12.200000000000001"
12835,"RPM","1020.7031249999999"
12835,"Get Voltage: ","12.200000000000001"
12936,"RPM","973.2421874999999"
12936,"Get Voltage: ","12.1"
13036,"RPM","915.8203124999999"
13036,"Get Voltage: ","12.15"
13136,"RPM","860.15625"
13136,"Get Voltage: ","12.15"
13236,"RPM","805.517578125"
13336,"RPM","764.94140625"
13336,"Get Voltage: ","9.5"
13336,"Get Current: ","24.125"
13436,"RPM","1148.4375"
13436,"Get Voltage: ","9.95"
13436,"Get Current: ","61.0"
13536,"RPM","2053.271484375"
13536,"Get Voltage: ","10.45"
13536,"Get Current: ","59.875"
13636,"RPM","2760.205078125"
13636,"Get Voltage: ","10.850000000000001"
13636,"Get Current: ","47.5"
13736,"RPM","3199.51171875"
13736,"Get Voltage: ","11.75"
13736,"Get Current: ","30.875"
13836,"RPM","3488.818359375"
13836,"Get Current: ","1.375"
13836,"Get Voltage: ","12.05"
13937,"RPM","3453.80859375"
13937,"Get Voltage: ","12.1"
13937,"Get Current: ","0.0"
14037,"RPM","3340.283203125"
14037,"Get Current: ","3.125"
14037,"Get Voltage: ","11.9"
14137,"RPM","3307.177734375"
14137,"Get Voltage: ","11.9"
14137,"Get Current: ","5.625"
14237,"RPM","3332.080078125"
14237,"Get Current: ","6.125"
14237,"Get Voltage: ","11.9"
14337,"RPM","3360.498046875"
