Time (ms),Name,Value
4,"At Target: ","false"
6,"P: ","0.1"
6,"Get Voltage: ","12.55"
6,"Get Current: ","0.0"
6,"D: ","0.0"
6,"RPM","1873.6816406249998"
17351,"RPM","0.0"
17352,"Get Voltage: ","12.6"
17752,"Get Voltage: ","12.6"
17851,"Get Voltage: ","12.65"
17955,"Get Voltage: ","12.65"
18158,"Get Voltage: ","11.65"
18251,"Get Current: ","1.125"
18251,"Get Voltage: ","12.25"
18352,"Get Voltage: ","12.35"
18352,"Get Current: ","0.0"
18452,"Get Voltage: ","12.4"
18552,"Get Voltage: ","12.35"
18653,"Get Voltage: ","12.450000000000001"
18753,"Get Voltage: ","12.4"
18853,"Get Voltage: ","12.4"
18952,"Get Voltage: ","12.4"
19052,"Get Voltage: ","9.55"
19155,"RPM","267.626953125"
19155,"Get Current: ","61.125"
19155,"Get Voltage: ","10.0"
19253,"RPM","1334.033203125"
19253,"Get Voltage: ","10.55"
19354,"RPM","2246.19140625"
19354,"Get Voltage: ","10.75"
19354,"Get Current: ","61.0"
19454,"RPM","2820.556640625"
19454,"Get Voltage: ","11.05"
19454,"Get Current: ","52.375"
19553,"RPM","3389.208984375"
19553,"Get Voltage: ","11.15"
19554,"Get Current: ","46.125"
19654,"RPM","3831.0058593749995"
19654,"Get Current: ","36.5"
19654,"Get Voltage: ","11.3"
19754,"RPM","4184.326171875"
19754,"Get Voltage: ","11.5"
19754,"Get Current: ","33.0"
19854,"RPM","4415.625"
19854,"Get Voltage: ","11.45"
19854,"Get Current: ","26.125"
19958,"RPM","4641.064453125"
19958,"Get Voltage: ","11.600000000000001"
19958,"Get Current: ","24.625"
20054,"RPM","4826.3671875"
20054,"Get Current: ","21.75"
20054,"Get Voltage: ","11.850000000000001"
20154,"RPM","4961.1328125"
20154,"Get Voltage: ","11.95"
20154,"Get Current: ","9.75"
20255,"RPM","4989.84375"
20255,"Get Voltage: ","12.0"
20255,"Get Current: ","7.0"
20354,"RPM","4966.9921875"
20354,"Get Current: ","7.5"
20354,"Get Voltage: ","11.9"
20455,"RPM","4941.796875"
20455,"Get Voltage: ","11.95"
20455,"Get Current: ","8.25"
20555,"RPM","4941.2109375"
20555,"Get Current: ","9.125"
20555,"Get Voltage: ","11.9"
20655,"RPM","4949.4140625"
20655,"Get Voltage: ","12.1"
20655,"Get Current: ","9.375"
20755,"RPM","4951.7578125"
20755,"Get Current: ","8.625"
20755,"Get Voltage: ","12.05"
20855,"Get Voltage: ","12.0"
20855,"RPM","4952.34375"
20855,"Get Current: ","8.375"
20956,"Get Voltage: ","11.95"
20956,"RPM","4952.34375"
20956,"Get Current: ","8.625"
21055,"Get Voltage: ","12.0"
21055,"RPM","4952.34375"
21055,"Get Current: ","8.5"
21156,"RPM","4951.171875"
21156,"Get Voltage: ","11.95"
21156,"Get Current: ","8.25"
21255,"Get Current: ","8.625"
21255,"Get Voltage: ","12.0"
21255,"RPM","4950.5859375"
21356,"RPM","4952.9296875"
21356,"Get Current: ","8.5"
21356,"Get Voltage: ","12.0"
21455,"Get Current: ","8.625"
21456,"RPM","4952.9296875"
21456,"Get Voltage: ","12.0"
21556,"RPM","4950.0"
21556,"Get Voltage: ","12.05"
21556,"Get Current: ","8.375"
21656,"RPM","4947.65625"
21656,"Get Voltage: ","12.0"
21656,"Get Current: ","8.375"
21756,"RPM","4950.5859375"
21756,"Get Voltage: ","11.95"
21756,"Get Current: ","8.625"
21857,"Get Voltage: ","12.0"
21857,"RPM","4952.34375"
21857,"Get Current: ","8.25"
21956,"RPM","4952.9296875"
21957,"Get Voltage: ","12.0"
22057,"RPM","4951.7578125"
22057,"Get Voltage: ","12.0"
22057,"Get Current: ","8.625"
22156,"Get Voltage: ","12.0"
22156,"RPM","4952.9296875"
22257,"RPM","4953.515625"
22257,"Get Current: ","8.25"
22357,"RPM","4951.7578125"
22357,"Get Voltage: ","12.05"
22460,"Get Voltage: ","11.95"
22460,"RPM","4953.515625"
22460,"Get Current: ","8.625"
22562,"Get Voltage: ","12.05"
22562,"Get Current: ","8.25"
22562,"RPM","4955.859375"
22657,"RPM","4955.859375"
22657,"Get Voltage: ","12.0"
22657,"Get Current: ","8.125"
22757,"RPM","4954.1015625"
22757,"Get Voltage: ","12.0"
22757,"Get Current: ","8.25"
22857,"Get Voltage: ","12.05"
22857,"RPM","4952.34375"
22957,"Get Voltage: ","12.1"
22957,"Get Current: ","8.625"
23058,"RPM","4955.2734375"
23058,"Get Voltage: ","12.0"
23058,"Get Current: ","8.25"
23158,"RPM","4957.6171875"
23158,"Get Current: ","8.375"
23158,"Get Voltage: ","12.0"
23258,"Get Voltage: ","12.0"
23258,"RPM","4957.6171875"
23258,"Get Current: ","8.125"
23358,"RPM","4957.03125"
23358,"Get Voltage: ","11.95"
23457,"RPM","4954.1015625"
23458,"Get Voltage: ","12.0"
23558,"Get Current: ","8.25"
23558,"RPM","4955.2734375"
23660,"RPM","4935.9375"
23660,"Get Voltage: ","11.95"
23660,"Get Current: ","9.625"
23758,"RPM","4669.62890625"
23759,"Get Voltage: ","11.7"
23759,"Get Current: ","13.5"
23858,"RPM","4779.931640625"
23858,"Get Voltage: ","11.600000000000001"
23858,"Get Current: ","23.375"
23959,"RPM","4933.0078125"
23959,"Get Voltage: ","11.8"
23959,"Get Current: ","13.5"
24058,"RPM","4787.841796875"
24058,"Get Voltage: ","11.7"
24058,"Get Current: ","12.5"
24159,"RPM","4783.30078125"
24159,"Get Voltage: ","11.75"
24159,"Get Current: ","23.0"
24258,"RPM","4711.083984375"
24259,"Get Voltage: ","11.65"
24259,"Get Current: ","21.25"
24359,"RPM","4749.169921875"
24359,"Get Voltage: ","11.600000000000001"
24359,"Get Current: ","24.5"
24459,"RPM","4687.20703125"
24459,"Get Voltage: ","11.45"
24459,"Get Current: ","23.0"
24559,"RPM","4650.29296875"
24559,"Get Voltage: ","11.4"
24559,"Get Current: ","26.0"
24658,"RPM","4656.15234375"
24658,"Get Voltage: ","11.350000000000001"
24658,"Get Current: ","24.5"
24759,"RPM","4627.001953125"
24759,"Get Voltage: ","11.4"
24759,"Get Current: ","24.25"
24859,"RPM","4613.818359375"
24859,"Get Current: ","24.625"
24859,"Get Voltage: ","11.55"
24959,"RPM","4647.509765625"
24959,"Get Voltage: ","11.55"
24959,"Get Current: ","24.75"
25060,"RPM","4604.8828125"
25060,"Get Current: ","25.625"
25060,"Get Voltage: ","11.45"
25160,"RPM","4556.54296875"
25160,"Get Voltage: ","11.45"
25160,"Get Current: ","26.5"
25260,"RPM","4520.21484375"
25260,"Get Voltage: ","11.5"
25260,"Get Current: ","27.25"
25360,"RPM","4503.80859375"
25360,"Get Voltage: ","11.350000000000001"
25360,"Get Current: ","27.5"
25460,"RPM","4451.806640625"
25461,"Get Voltage: ","11.3"
