Time (ms),Name,Value
7,"At Target: ","false"
8,"P: ","0.1"
8,"Get Voltage: ","12.5"
8,"Get Current: ","0.0"
9,"D: ","0.0"
9,"RPM","1556.54296875"
74068,"RPM","0.0"
74068,"Get Voltage: ","12.6"
74169,"Get Voltage: ","12.6"
74669,"Get Voltage: ","12.65"
74768,"Get Voltage: ","12.6"
74869,"Get Voltage: ","12.65"
74970,"Get Voltage: ","12.6"
75169,"Get Voltage: ","12.6"
75470,"Get Voltage: ","12.6"
75770,"Get Voltage: ","12.6"
75870,"Get Voltage: ","12.6"
76071,"Get Voltage: ","12.65"
76170,"Get Voltage: ","12.6"
76470,"Get Voltage: ","12.6"
76571,"Get Voltage: ","12.6"
76871,"Get Voltage: ","12.35"
76871,"Get Current: ","1.375"
76972,"Get Voltage: ","12.4"
76972,"Get Current: ","0.0"
77171,"Get Voltage: ","12.4"
77275,"Get Voltage: ","12.35"
77375,"Get Voltage: ","12.5"
77471,"Get Voltage: ","12.35"
77571,"Get Voltage: ","12.4"
77672,"Get Voltage: ","9.600000000000001"
77673,"RPM","11.279296875"
77673,"Get Current: ","46.75"
77772,"RPM","653.173828125"
77772,"Get Voltage: ","10.0"
77772,"Get Current: ","61.125"
77872,"RPM","1722.0703125"
77872,"Get Voltage: ","10.4"
77976,"RPM","2547.509765625"
77976,"Get Voltage: ","10.8"
77976,"Get Current: ","60.625"
78073,"RPM","3065.771484375"
78073,"Get Voltage: ","11.15"
78073,"Get Current: ","50.5"
78173,"RPM","3574.3652343749995"
78173,"Get Voltage: ","11.15"
78173,"Get Current: ","44.5"
78273,"RPM","3978.5156249999995"
78273,"Get Voltage: ","11.4"
78273,"Get Current: ","34.75"
78374,"RPM","4300.78125"
78374,"Get Voltage: ","11.45"
78374,"Get Current: ","32.125"
78473,"RPM","4509.08203125"
78473,"Get Voltage: ","11.600000000000001"
78473,"Get Current: ","25.75"
78572,"RPM","4714.453125"
78573,"Get Voltage: ","11.55"
78573,"Get Current: ","23.375"
78673,"RPM","4891.40625"
78673,"Get Voltage: ","11.55"
78673,"Get Current: ","22.125"
78773,"RPM","5038.4765625"
78773,"Get Voltage: ","11.850000000000001"
78773,"Get Current: ","19.25"
78873,"RPM","5136.9140625"
78873,"Get Voltage: ","11.75"
78873,"Get Current: ","18.5"
78973,"RPM","5240.625"
78973,"Get Current: ","16.875"
78973,"Get Voltage: ","11.850000000000001"
79073,"RPM","5325.5859375"
79073,"Get Voltage: ","11.8"
79073,"Get Current: ","16.125"
79173,"RPM","5396.484375"
79173,"Get Current: ","14.625"
79173,"Get Voltage: ","11.9"
79273,"RPM","5442.1875"
79273,"Get Voltage: ","11.9"
79273,"Get Current: ","10.375"
79374,"RPM","5447.4609375"
79374,"Get Voltage: ","11.95"
79374,"Get Current: ","9.125"
79474,"RPM","5432.8125"
79474,"Get Voltage: ","11.95"
79474,"Get Current: ","9.75"
79574,"RPM","5426.3671875"
79574,"Get Voltage: ","11.95"
79574,"Get Current: ","10.5"
79674,"Get Voltage: ","11.9"
79674,"Get Current: ","10.625"
79674,"RPM","5428.125"
79803,"RPM","5429.296875"
79803,"Get Voltage: ","11.95"
79944,"RPM","5430.46875"
79944,"Get Voltage: ","11.95"
79945,"Get Current: ","10.0"
80122,"RPM","5428.7109375"
80122,"Get Voltage: ","12.4"
80122,"Get Current: ","7.75"
80374,"RPM","5177.9296875"
80374,"Get Current: ","0.0"
80375,"Get Voltage: ","11.15"
80545,"RPM","5104.6875"
